ShipBox,ShipTray,ShipHole,FlatNum,ManufactureDate,HexCode,IdleCurrent,BatteryVoltage,OutputCurrent,Period_Nom,Length_mm,Width_mm,Height_mm,Weight_air_mg,FullID,Power_db,Customer_PO,Sales_Order_No,Project Name,Project Fund,Notes,Manufacturer,DecCode,Model,Serial No,UseType,Frequency_kHz,Period_Est,EstimatedLife,WarrantyLife,BatteryType,Cost,Date_Received,Agency,Owner
2047,1,81,5349,21-Nov-23,EA37,0.0000004727,3.19v,0.0000000576,5,14.2,3.2,3.2,203,G72EA370F,155,,,,,,,,,,,,,,,,,,,
2047,1,82,5349,21-Nov-23,EA4E,0.000000445,3.19v,0.0000000588,5,14.2,3.2,3.2,203,G72EA4E6B,153,,,,,,,,,,,,,,,,,,,
2047,1,83,5350,21-Nov-23,EA88,0.0000004915,3.19v,0.0000000585,5,14.2,3.2,3.2,204,G72EA887C,153,,,,,,,,,,,,,,,,,,,
2047,1,84,5350,21-Nov-23,EA93,0.0000005064,3.19v,0.0000000582,5,14.2,3.2,3.2,203,G72EA93C1,156,,,,,,,,,,,,,,,,,,,
2047,1,85,5358,21-Nov-23,F0B5,0.000000416,3.19v,0.0000000572,5,14.2,3.2,3.2,203,G72F0B534,155,,,,,,,,,,,,,,,,,,,
2047,1,86,5349,21-Nov-23,EA50,0.0000005928,3.19v,0.0000000602,5,14.2,3.2,3.2,206,G72EA50E9,155,,,,,,,,,,,,,,,,,,,
2047,1,87,5349,21-Nov-23,EA2C,0.0000004773,3.19v,0.000000058,5,14.2,3.2,3.2,206,G72EA2CB2,155,,,,,,,,,,,,,,,,,,,
2047,1,88,5346,21-Nov-23,7285,0.0000004156,3.19v,0.0000000539,5,14.2,3.2,3.2,205,G72728534,155,,,,,,,,,,,,,,,,,,,
2047,1,89,5356,21-Nov-23,ED63,0.0000004329,3.19v,0.0000000548,5,14.2,3.2,3.2,208,G72ED63DB,153,,,,,,,,,,,,,,,,,,,
2047,1,90,5346,21-Nov-23,E845,0.0000004586,3.19v,0.0000000589,5,14.2,3.2,3.2,201,G72E845DA,156,,,,,,,,,,,,,,,,,,,
2047,1,91,5346,21-Nov-23,7258,0.0000004204,3.19v,0.0000000528,5,14.2,3.2,3.2,204,G7272589E,155,,,,,,,,,,,,,,,,,,,
2047,1,92,5356,21-Nov-23,EDA3,0.0000004141,3.19v,0.0000000586,5,14.2,3.2,3.2,203,G72EDA311,155,,,,,,,,,,,,,,,,,,,
2047,1,93,5350,21-Nov-23,EA84,0.00000044,3.19v,0.0000000593,5,14.2,3.2,3.2,208,G72EA84DF,154,,,,,,,,,,,,,,,,,,,
2047,1,94,5358,21-Nov-23,F135,0.0000004479,3.19v,0.000000059,5,14.2,3.2,3.2,202,G72F1357C,155,,,,,,,,,,,,,,,,,,,
2047,1,95,5356,21-Nov-23,ED7D,0.0000004564,3.19v,0.0000000584,5,14.2,3.2,3.2,207,G72ED7D59,155,,,,,,,,,,,,,,,,,,,
2047,1,96,5356,21-Nov-23,EDA1,0.0000004872,3.19v,0.0000000581,5,14.2,3.2,3.2,204,G72EDA1AD,154,,,,,,,,,,,,,,,,,,,
2047,1,97,5356,21-Nov-23,ED8A,0.000000695,3.19v,0.0000000592,5,14.2,3.2,3.2,208,G72ED8AAE,153,,,,,,,,,,,,,,,,,,,
2047,1,98,5357,21-Nov-23,EE5A,0.0000004754,3.19v,0.0000000563,5,14.2,3.2,3.2,205,G72EE5AAC,154,,,,,,,,,,,,,,,,,,,
2047,1,99,5356,21-Nov-23,ED6B,0.0000004113,3.19v,0.0000000573,5,14.2,3.2,3.2,205,G72ED6B19,156,,,,,,,,,,,,,,,,,,,
2047,1,100,5350,21-Nov-23,EAD5,0.0000004972,3.19v,0.0000000528,5,14.2,3.2,3.2,207,G72EAD55A,155,,,,,,,,,,,,,,,,,,,
2047,1,101,5358,21-Nov-23,F0A9,0.0000004843,3.19v,0.0000000597,5,14.2,3.2,3.2,203,G72F0A90A,156,,,,,,,,,,,,,,,,,,,
2047,1,102,5346,21-Nov-23,E835,0.0000004756,3.19v,0.0000000601,5,14.2,3.2,3.2,207,G72E83522,155,,,,,,,,,,,,,,,,,,,
2047,1,103,5357,21-Nov-23,EEA1,0.0000005037,3.19v,0.0000000596,5,14.2,3.2,3.2,208,G72EEA1F8,155,,,,,,,,,,,,,,,,,,,
2047,1,104,5350,21-Nov-23,EA79,0.0000005231,3.19v,0.0000000587,5,14.2,3.2,3.2,203,G72EA7956,156,,,,,,,,,,,,,,,,,,,
2047,1,105,5349,21-Nov-23,EA35,0.0000004642,3.19v,0.0000000594,5,14.2,3.2,3.2,206,G72EA35B3,155,,,,,,,,,,,,,,,,,,,
2047,1,106,5349,21-Nov-23,EA25,0.0000004471,3.19v,0.0000000549,5,14.2,3.2,3.2,204,G72EA252E,154,,,,,,,,,,,,,,,,,,,
2047,1,107,5357,21-Nov-23,EEAE,0.0000004319,3.19v,0.0000000572,5,14.2,3.2,3.2,208,G72EEAEB9,155,,,,,,,,,,,,,,,,,,,
2047,1,108,5356,21-Nov-23,EDC9,0.000000576,3.19v,0.0000000595,5,14.2,3.2,3.2,205,G72EDC90A,153,,,,,,,,,,,,,,,,,,,
2047,1,109,5347,21-Nov-23,E8C5,0.000000457,3.19v,0.0000000618,5,14.2,3.2,3.2,205,G72E8C556,156,,,,,,,,,,,,,,,,,,,
2047,1,110,5357,21-Nov-23,EEB5,0.0000005498,3.19v,0.0000000577,5,14.2,3.2,3.2,203,G72EEB504,155,,,,,,,,,,,,,,,,,,,
2047,1,111,5346,21-Nov-23,72A1,0.0000005817,3.19v,0.0000000573,5,14.2,3.2,3.2,203,G7272A176,156,,,,,,,,,,,,,,,,,,,
2047,1,112,5350,21-Nov-23,EA85,0.0000005278,3.19v,0.0000000564,5,14.2,3.2,3.2,206,G72EA8581,154,,,,,,,,,,,,,,,,,,,
2047,1,113,5357,21-Nov-23,EE6B,0.0000003792,3.19v,0.0000000582,5,14.2,3.2,3.2,206,G72EE6B4C,155,,,,,,,,,,,,,,,,,,,
2047,1,114,5356,21-Nov-23,ED77,0.0000004292,3.19v,0.0000000557,5,14.2,3.2,3.2,208,G72ED7727,157,,,,,,,,,,,,,,,,,,,
2047,1,115,5349,21-Nov-23,EA46,0.0000004785,3.19v,0.0000000585,5,14.2,3.2,3.2,206,G72EA46A9,155,,,,,,,,,,,,,,,,,,,
2047,1,116,5346,21-Nov-23,E854,0.0000004591,3.19v,0.0000000593,5,14.2,3.2,3.2,198,G72E85419,156,,,,,,,,,,,,,,,,,,,
2047,1,117,5346,21-Nov-23,72A2,0.0000004444,3.19v,0.0000000561,5,14.2,3.2,3.2,207,G7272A294,155,,,,,,,,,,,,,,,,,,,
2047,1,118,5356,21-Nov-23,ED71,0.0000004075,3.19v,0.0000000557,5,14.2,3.2,3.2,209,G72ED71FA,156,,,,,,,,,,,,,,,,,,,
2047,1,119,5350,21-Nov-23,EAC5,0.0000004822,3.19v,0.0000000549,5,14.2,3.2,3.2,204,G72EAC5C7,155,,,,,,,,,,,,,,,,,,,
2047,1,120,5349,21-Nov-23,EA53,0.0000004748,3.19v,0.0000000595,5,14.2,3.2,3.2,205,G72EA530B,156,,,,,,,,,,,,,,,,,,,
2047,1,121,5356,21-Nov-23,ED8B,0.0000004691,3.19v,0.0000000591,5,14.2,3.2,3.2,202,G72ED8BF0,156,,,,,,,,,,,,,,,,,,,
2047,1,122,5358,21-Nov-23,EEBA,0.000000525,3.19v,0.0000000529,5,14.2,3.2,3.2,203,G72EEBA45,155,,,,,,,,,,,,,,,,,,,
2047,1,123,5358,21-Nov-23,EEB9,0.0000004744,3.19v,0.000000051,5,14.2,3.2,3.2,204,G72EEB9A7,153,,,,,,,,,,,,,,,,,,,
2047,1,124,5349,21-Nov-23,EA66,0.0000005078,3.19v,0.0000000616,5,14.2,3.2,3.2,204,G72EA668A,156,,,,,,,,,,,,,,,,,,,
2047,1,125,5346,21-Nov-23,725C,0.0000004254,3.19v,0.0000000522,5,14.2,3.2,3.2,210,G72725CFF,154,,,,,,,,,,,,,,,,,,,
2047,1,126,5357,21-Nov-23,EEB4,0.0000004344,3.19v,0.0000000575,5,14.2,3.2,3.2,203,G72EEB45A,154,,,,,,,,,,,,,,,,,,,
2047,1,127,5357,21-Nov-23,EE9B,0.0000004651,3.19v,0.0000000578,5,14.2,3.2,3.2,206,G72EE9B38,155,,,,,,,,,,,,,,,,,,,
2047,1,128,5356,21-Nov-23,EDAD,0.0000005247,3.19v,0.0000000579,5,14.2,3.2,3.2,200,G72EDAD0E,155,,,,,,,,,,,,,,,,,,,
2047,1,129,5348,21-Nov-23,EA15,0.000000431,3.19v,0.0000000544,5,14.2,3.2,3.2,204,G72EA1590,155,,,,,,,,,,,,,,,,,,,
2047,1,130,5347,21-Nov-23,E943,0.0000007021,3.19v,0.0000000512,5,14.2,3.2,3.2,203,G72E943C3,154,,,,,,,,,,,,,,,,,,,
2047,1,131,5348,21-Nov-23,E9E5,0.0000005425,3.19v,0.0000000565,5,14.2,3.2,3.2,204,G72E9E5B1,156,,,,,,,,,,,,,,,,,,,
2047,1,132,5356,21-Nov-23,ED96,0.0000004497,3.19v,0.000000059,5,14.2,3.2,3.2,203,G72ED9690,154,,,,,,,,,,,,,,,,,,,
2047,1,133,5358,21-Nov-23,EF15,0.0000004914,3.19v,0.0000000541,5,14.2,3.2,3.2,205,G72EF156F,155,,,,,,,,,,,,,,,,,,,
2047,1,134,5349,21-Nov-23,EA2B,0.0000005563,3.19v,0.0000000561,5,14.2,3.2,3.2,205,G72EA2B31,155,,,,,,,,,,,,,,,,,,,
2047,1,135,5356,21-Nov-23,ED47,0.0000004895,3.19v,0.0000000536,5,14.2,3.2,3.2,204,G72ED4799,156,,,,,,,,,,,,,,,,,,,
2047,1,136,5358,21-Nov-23,EF54,0.0000004652,3.19v,0.0000000552,5,14.2,3.2,3.2,205,G72EF5477,155,,,,,,,,,,,,,,,,,,,
2047,1,137,5348,21-Nov-23,E997,0.0000005202,3.19v,0.0000000566,5,14.2,3.2,3.2,203,G72E997F5,155,,,,,,,,,,,,,,,,,,,
2047,1,138,5346,21-Nov-23,729E,0.0000004272,3.19v,0.0000000557,5,14.2,3.2,3.2,207,G72729E89,153,,,,,,,,,,,,,,,,,,,
2047,1,139,5346,21-Nov-23,727A,0.000000399,3.19v,0.0000000536,5,14.2,3.2,3.2,205,G72727A01,154,,,,,,,,,,,,,,,,,,,
2047,1,140,5347,21-Nov-23,E8B9,0.0000004528,3.19v,0.0000000697,5,14.2,3.2,3.2,203,G72E8B90D,153,,,,,,,,,,,,,,,,,,,
2047,1,141,5347,21-Nov-23,E8D7,0.000000451,3.19v,0.0000000559,5,14.2,3.2,3.2,204,G72E8D777,156,,,,,,,,,,,,,,,,,,,
2047,1,142,5357,21-Nov-23,EE97,0.0000004589,3.19v,0.0000000579,5,14.2,3.2,3.2,204,G72EE979B,153,,,,,,,,,,,,,,,,,,,
2047,1,143,5358,21-Nov-23,EF69,0.0000004811,3.19v,0.0000000572,5,14.2,3.2,3.2,202,G72EF6934,157,,,,,,,,,,,,,,,,,,,
2047,1,144,5357,21-Nov-23,EEB2,0.0000004301,3.19v,0.0000000566,5,14.2,3.2,3.2,207,G72EEB287,155,,,,,,,,,,,,,,,,,,,
2047,1,145,5347,21-Nov-23,E8CD,0.0000004444,3.19v,0.00000006,5,14.2,3.2,3.2,205,G72E8CD94,156,,,,,,,,,,,,,,,,,,,
